序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
547,2025,公關專業人員,K660000000,75,62526,119.9
548,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),K660000000,4576,70180,129.7
549,2025,律師,K660000000,---,---,---
550,2025,編輯、作家及有關撰稿人員,K660000000,-,-,-
551,2025,翻譯人員,K660000000,---,---,---
552,2025,其他專業人員,K660000000,-,-,-
553,2025,技術員及助理專業人員,K660000000,27828,84987,136.8
554,2025,證券金融交易員及經紀人(含理財專員、承銷人員),K660000000,25848,87226,138.7
555,2025,信用及貸款人員,K660000000,---,---,---
556,2025,會計人員,K660000000,567,52479,103.7
557,2025,統計及精算助理專業人員,K660000000,---,---,---
558,2025,財物及損失鑑價人員,K660000000,-,-,-
559,2025,保險代理人 (含保險業務員),K660000000,-,-,-
560,2025,工商業銷售代表(含業務員),K660000000,---,---,---
561,2025,採購員,K660000000,-,-,-
562,2025,會議及活動規劃人員,K660000000,-,-,-
563,2025,不動產經紀人(含房屋仲介),K660000000,-,-,-
564,2025,專業秘書,K660000000,207,74741,141
565,2025,法務人員,K660000000,341,58960,110.2
566,2025,社會工作助理人員,K660000000,-,-,-
567,2025,資訊管理及維護技術員,K660000000,601,52853,102.7
568,2025,其他技術員及助理專業人員,K660000000,-,-,-
569,2025,事務支援人員,K660000000,14089,46571,89.1
570,2025,總務,K660000000,614,47374,90.8
571,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K660000000,3351,47356,81.8
572,2025,銀行、郵局櫃台事務人員,K660000000,-,-,-
573,2025,收帳、收費人員(含帳款催收),K660000000,-,-,-
574,2025,接待員及服務台事務人員(含總機),K660000000,904,42870,81.2
575,2025,電話及網路客服人員,K660000000,590,39031,82.2
576,2025,統計調查訪談人員,K660000000,-,-,-
577,2025,醫院(診所)櫃台事務人員,K660000000,-,-,-
578,2025,會計助理、簿記、出納,K660000000,597,46864,94.5
579,2025,核保人員,K660000000,-,-,-
580,2025,統計、財務、證券及保險事務人員,K660000000,7776,47001,93
581,2025,存貨事務人員,K660000000,-,-,-
582,2025,人事事務人員,K660000000,257,51044,94.5
583,2025,郵件處理及投遞人員,K660000000,-,-,-
584,2025,其他事務支援人員,K660000000,-,-,-
585,2025,服務及銷售工作人員,K660000000,592,47758,125.7
586,2025,廚師(含廚房領班),K660000000,---,---,---
587,2025,按摩師,K660000000,---,---,---
588,2025,商店銷售及展售人員(含門市店長),K660000000,-,-,-
589,2025,電話及網路行銷人員,K660000000,512,47589,131.2
590,2025,建築物管理員、保全及警衛人員,K660000000,56,50355,100.8
591,2025,其他服務及銷售工作人員,K660000000,-,-,-
592,2025,技藝、機械設備操作及組裝人員,K660000000,425,42929,81.2
593,2025,美編、印刷及有關工作人員(含印刷前置、裝訂),K660000000,-,-,-
594,2025,電力、電子、資通訊設備裝修人員(含水電工),K660000000,259,39190,82.3
595,2025,機車送件駕駛人員,K660000000,-,-,-
596,2025,小客、貨車駕駛人員,K660000000,166,48763,79.8
597,2025,大客、貨車駕駛人員,K660000000,-,-,-
598,2025,基層技術工及勞力工,K660000000,---,---,---
599,2025,清潔及家事工作人員(含建築清潔工、房務人員),K660000000,---,---,---
600,2025,勞力工(含理貨員、行李搬運工),K660000000,-,-,-
601,2025,廚房幫工(含速食烹調),K660000000,---,---,---
602,2025,抄表員及自動販賣機收款員,K660000000,-,-,-
603,2025,停車場管理工,K660000000,-,-,-
